,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,
162,0,0,0,0,0,0,0,0,0,,0
163,0,0,0,0,0,0,0,0,0,,0
164,0,0,0,0,0,0,0,0,0,,0
165,0,0,0,0,0,0,0,0,0,,0
166,"자율주행 자동차 환경에서의 3D-LiDAR 와 딥러닝을 이용한 클러스터링 후보군 기반 실시간 객체 검출
Real-Time 3D-LiDAR Object Detection in Autonomous Vehicle Systems Using Cluster-Based Candidates and Deep Learning",0,김학일 /Hakil Kim,: 제어·로봇·시스템학회,"김만규 /Man-Gyu Kim, 배성현 /Seong-Hyun Bae",795-801,0,제어.로봇.시스템학회 논문지,2019.09,,1
167,"카메라와 라이다의 객체 검출 성능 향상을 위한 Sensor Fusion
Camera and LiDAR Sensor Fusion for Improving Object Detection",0,김학일 /Hakil Kim,: 한국방송∙미디어공학회,"이종서 /Jong-Seo Lee, 김만규 /Mangyu Kim",580-591,0,방송공학회 논문지,2019.07,,1
168,"ADAS용 다중화각 카메라를 이용한 객체 인식 향상
Improved Object Recognition using Multi-view Camera for ADAS",0,김학일 /Hakil Kim,: 한국방송∙미디어공학회,박동훈 /Dong-hun Park,573-579,0,방송공학회 논문지,2019.07,,1
169,"디자인과 소프트웨어 융합전공의 프로그램 학습성과 평가체계개발
Development of Program Outcomes Evaluation System for Multidisciplinary Major in Design and Software",0,김학일 /Hakil Kim,: 한국공학교육학회,"최지은 /Choi Ji Eun, 진성희 /Jin Sung-Hee",74-88,0,공학교육연구,2019.11,,1
170,"Conditional Generative Adversarial Network를 이용한 이미지 방사 왜곡 보정 영상 생성
Automatic Radial Un-distortion using Conditional Generative Adversarial Network",0,김학일 /Hakil Kim,: 제어·로봇·시스템학회,"박동훈 /Dong-Hun Park, Vijay Kakani",1007-1013,0,제어.로봇.시스템학회 논문지,2019.11,,1
171,0,0,0,0,0,0,0,0,0,,0
172,0,0,0,0,0,0,0,0,0,,0
173,0,0,0,0,0,0,0,0,0,,0
174,Korean medical students’ attitudes toward academic misconduct: a cross-sectional multicenter study,0,"이영미 /Lee Young-mi, Su Jin Chae",: 한국의학교육학회,"정은경 /Eun-Kyung Chung, 윤태영 /Tai-Young Yoon, 김석용 /Kim， Seok-yong, 박소연 /PARK， So Youn, 박지영 /Ji Young Park, 박창신",309-317,0,Korean Journal of Medical Education,2019.12,,1
175,0,0,0,0,0,0,0,0,0,,0
176,0,0,0,0,0,0,0,0,0,,0
177,0,0,0,0,0,0,0,0,0,,0
178,A CMOS Fourth-order Delta-sigma Modulator with a Single Reconfigurable Fully Differential Amplifier,0,Kwang Sub Yoon,: 대한전자공학회,Jae-hyun Sung,226-232,0,JOURNAL OF SEMICONDUCTOR TECHNOLOGY AND SCIENCE,2019.04,,1
179,Two person Interaction Recognition Based on Effective Hybrid Learning,0,이필규 /RHEE PHILL KYU,: 한국인터넷정보학회,"Minhaz Uddin Ahmed, 김영현 /Kim Yeong Hyeon, 김진우 /JinWoo Kim, Md Rezaul Bashar",751-770,0,KSII Transactions on Internet and Information Systems,2019.02,,1
180,0,0,0,0,0,0,0,0,0,,0
181,0,0,0,0,0,0,0,0,0,,0
182,"Lactobacillus salivarius MG242의 열 전처리시 생존율 증진 및 항 캔디다 효과
Improved Cell Viability and Anti-Candida Activity of Probiotic Lactobacillus salivarius MG242 by Heat Adaptation",0,소재성 /Jae Seong So,: 한국낙농식품응용생물학회,"강창호 /Kang Chang-Ho, 김용경 /Yonggyeong Kim, 신유진 /0000-0002-0631-8904, 백남수 /Paek，Nam-Soo",49-56,0,Journal of Dairy Science and Biotechnology,2019.03,,1
